input,output
11)c)(((*c)b)20b2b1-0/+1*21(/)1-2-10)+(0*b2))ca*cb2-a0(1()-*(20((,incorrect
2)*/c1()b(-212ac*)0-))b21/aa))+-)b--0)0(/))1)(1b())ac(+-/aa)(0-(c+1)0))c-2)*/0c)()-1(0/220*2*1++2)22)-)*a-*0b1(((1ca(c22/c(*-12abc/2/)c)))*a202a/)2+01(a-1+01bc1/b11(2b/0(-bb*ca)(a2)b1202ac+1(cb(-1a/0b(1)((ac(ac(b*(-)+*)0*01(22*000(/ba2b(b(0b/+c2*b202/1*/+*2)++2a)c*/1*22(b/)c0+1*)1-()2*0b1*(+b1c/0+)*(1/)/1+a1)01222)(b0(baa(a))2)c/b-aa2)20)a2bab(a/*c2b-2b()++c-1c2b+c/*0c*21)*0*/00(0bbb2c)-22)/0(-0)b/)(0b/2ac02(*+c*-2/11c)b*)(b0//)01+c0+a-/1b/+0(2-abc(bc0ccb(ba(-bb*(c-+a+0*(ac(*/+b+()0a(a(*00/2+b(a(+a*)(aa1/+++0a-a0c0()cb+c-)+cc*2b-cc11*/(1(/0)c0-0b+a-)-a)ca2-*a)a*1(b02c-a)-*0()*(bc2/)0-0b2*b2c/-bb)*+/**a)b)+*a)1/b)((-a+c/c-c)((0a*(ca)a)(00b0)()/*+1b**c+bc0b0cc+-)(c)/c/)11+0c0)c2(0c)c+0+a)/,incorrect
+)/22/*0a-ab21ac)++c10/1*22(20/aa(c0a-(a1c2b)(/2))*22((/b0-c))+1()/-1+))/0-bbc0/)/+ba/20)/a/)2*)(b-(abc)(c2b(0+)+//*b-/)c/+ca(2/((a(0a)+20)12211a0a*0c2b/)0(c*)*(c1c)2-(c0a0c(c1-c)*)a)0b)22aa1)bac)*)-)b/2(a1-0-+2/a(121bb+1(+c-ba1+c2((/)/b-(bb+b100-a/+)0)/b)+bc0/)ab*/c/cc-cc0/+-(((/*(a+b+a*(c/c-+c0*010*)-b2bb+-/0+*)/))1*0c)(/2b()c*c0())/-)-2+c+2)cc0a11+01(bb-2a(b/)a*/((-)01b*a((/)1c1+-))2-1++)0a)ca/aa0/)2a(c-)c/)a(cb1*/*a2(-(+*(a1(*(+0-/*1-+)b-2-(*cbc*c)bb(0+)()--*)(bb(22(/*(**b(2(cac2/ba(/(c/-ab21/(c0a2c(aaba(01)b/)0+0))b)/112a0*-))0)2c0/)(-ca(0c(aa)2*)b))))b/c)021(2-a+0c1(*12c(2*(12++221c()*)((1020+(0((cc)02*+)*(*/1ab)-001b/0/+)()a2abb1)b(-(11)ac220**cc1a*ab02b)0/)1()/)b(+/0((bb+0/111-aca(0a(()c00)(0c()*+b(+a/a(-)2()(//10+a((*++121b2)-(-b-2*+bc/a(()0/)cc))b)/)-2)a(2b*)0ac)+(+-2aba2(2a--b2-c0a10)1)0c0/)))*2(b01((b1(-ac-a-c(-)(c*(ab(c*)c)b21a-c(+)c-1/)2+0)/a**b2+*b*(+*+(a(2)a)20-a1c(//+12(c(-*0)01,incorrect
0b/)-2)ab210((()a)cc-a*0/(-/--ab)ab/-()2/a2-ca//a/)-(b)*1))+a1ba)ba1)(2bb+c02c0220/++1*(0)12c*)1a*(*/b1ac-a)/()))((1))*c1(12a1a/b+0/((aa*(0+)-(b0)//b2-b1*)c2a2()a)1*02+bb1-1/))(a10a/0)b)(/+*1b()c2c0b)ac-a10)cc(2)02(**1+c-11)a1aa)a*b(+/21)bab00/+*21*+1(2(b200)((((baca0*20aa01b20ba1/a-bb(-bc)(0)()2bbb0+)b22-//-ac)0)*1c)1(*0b0(cca2c+)c(001(*bcbcc*11)1))//+a2101-aa))0-0--+-*/1(b))(a()-*/***b+-))+c0++a))+(*a0a1/2ab2-b1()+c*1c1)ba/c-c2c1/bac*11(/2caa/)ccc2//c2c/1//00a)02b+/0bc*+)1+c*1a(c00c*2220b(0(*(/)**021()()102-20c11cb-(2bc(c(21a(c0c((//*-cb1c)(a*c)(*0-(c/21)-()2b)22*/200bc1-0*+(-c0)-)102((0,incorrect
(c1(-c()-1/cc-bcb)1c)2/-)/b*)c1)cb)b00cc)/ba(cc(0baca/)*20*a-*1((a+))((+ac1(b(11((/2c1/--(0b+1-*)b01*((/*c)20*0c(1*21*)2))0)(1(a100*00222+2b/)1()+(b2)01/*+((c2cbabca)c)*)((/021)a(102c))1))*/)bc+-*+c)b2+)*2)2))+a2-))2(b-b1b1)2+*++)*a-(0(-(0/-1c/-)2*)a((a-1b-1)a(0-2+a)ca-((*/2)2c--)(2)(/b)*))))2+(1))c*()cbc2/ba(0(0(/0-)*()((0-2)-2(-)0/22)/0-ab*()*)-+/a-1/)/cab0()b021(b1ba10+()/00)/*c2)(0)0(2)2c+ba/)/1(21a/((0ab/(1**2*0b/c11a2)cb+11a0(2-(/-)/ab(*()ab)2ca-b(*+)cc*0/)cc111)c((*11(a-(a/0-c/*//*)1)c*-22)0b2*+2c211/+/a((b+(*-()c2b0/b221(b()ccc/(+0(aca()b01)*0(1ac-bc))b-+c+)(+*0bc)(baa-+c2()100)b1)/0)+(((-(0+(+)*1a0cc-)+(1ba(-(c0)b-*-cc+01b10ba2/*0bb)21c(cb/ba)b/+1a((b))(1ba/)(a(10(12)cba10a1*b+cb0a1(2a1*a(*)121)b1))(0-1)((aa)22a//b2-a02))0*ba2)2a21a0a)*+1(-(+ba-ba)(((c/*1)1/(a)1(*a)0*1b1a*-1(-+/bbb00(cc)((bb/a/)a/aa)a1ac22b(00)c//021ac11c*02+)ac/+22()-01a21*ca(aa2*)*b*)*()0)(b12)2(0-12/12c*2-ca/0a-b-1c-/(10))(b,incorrect
)+2*0(1+(c0*2c222/(1b-a0*/1c)0*(((a/*1bc+b*(a(a-+b/c/c+((-+(0(c1a)c00*2b-+**)()b2/(+((2-b*/)+2(c(*/c((a+)(aa1*2)*)*0)+(-*a(b(2)(b)+-)*ac2(c1/c/(b2/0*(0/*bcb0c(*b1(-)22/10-a*bca12*/11/c2ab*/ab01)aa++b0))0)(21b))000+a)(/(b*)2((2-)a(2*-1())ba11c+ac(*b1-)-)12()0*-)1*)()a+c200((+(b*2))1++a0b1b)22(-2aa--c0)(/0)+10bb11(0+1/(b//(-+b1/(())c)0c/)((c(-+b1*(acaac1b)(*(ab+)*b)-(b2)c+a1)a(++2bac0c()1b02+ab(00c0a12(-ba10+*(-ac+)))0(2caa22)+c22a+))1(2(2-()01b(1(0(ab)01acc+a0c)ca1*01bcb*0*)0)((1b/-bb)0/+1(-1c(1-cb)c1/00cba(bba/(b00b)2/(121+*2/(2ba20a*ac/+-*-c-022a(0b+b)/a0c2*()(--0b/(10a)/-(-0-/a2+1*c1cba*)21+a2+(0)00*1c-20/*ac-/(*1(22)*10((bcba+(a1*((/1)+-(/21)*c/)0012)1a0)0a+ba(+1-/-+/(11)0cb+cba02-)11/)c1c-c+(0c(c111-c2*a*-b/--0)(01/((c11)0ccbcc(2a1)(+0)ab)1/c1*1/b)10/+1+00(())a)1//2()0c-c1*2(1-b))aa-c2*0()a0*(a+(c)c+0)))0(cc-c*)0(/)0a)c12acb)+a/-+ab(*+b)0c()c22c(1(-a(/*)*/)-1(()c0ab-a,incorrect
-*()+/)a11(+b)+c1)1-*2c/-()212c)a)a(c+-c*a*0)b+(a2+-)b)+*a2()b-)b)))c2212(1(((c20/b1-(222)(b+*()bc(b/)(1cb+(+)bc1bbb)20)1ac(2ba-a-b+1c*b)/0-)a+0ca20ac())cc2((bcc)(a1+)c2-a0b(1)))*)(1)()b+c-00**bb1b)1-)1)/2/a(c(b1-a/c()1(ac(2+c(-)c(1c/2)02*/cc0c2+-())0abb11)1+2*/0+a2b-((+c*0b20((0/1/(22(b0c)-)abb1*/)(+)c1)a)-a)+++--ac2/+1(a(a/c2a+(/--2)0210)()(c0aaa2+0c1)c-a10()(12*b2aa)(c(0)a2bb1))a((*baa(baaa1b)0b(a(c-(*)a0*c/*(2c(/(b2b)0100b2c)c2)++0(12)b(*(2(a(1(2)-)c(ba21/2(1)aa001-))b*)2-*+)/)2++0)+)0c2,incorrect
-a)acc-b(+b)22(b(++((/2(bb++)122/)/b/aa/-++0ca(*a(2ab*02(+2+b+2/02()1c(21)a/2c)(b+-cb*b-(1c(ca/0/-*b-00(c)bb-/0b1)-)00-))/2)())1aac-20(a*)*)0c(a))0*b(+1)*)(21-22(ca*)/1+()/))22a/c)2-()-b)b102b20c-/(0*0**c(b/(bc)a/(1(-(-a(02/12)00)c/1102c//+((()(/b0,incorrect
c(-)cac12c(01))011)(b)b(c1()+1c0a)02*ccc)-)c-b2)01)c*2/(2)00(b(2a0b1(ac0bc)/0+0*1*c1()(1a(-a()1b)b11b()+b2+0bbb0*2(a(/cc,incorrect
(212)1(+10+c(((02c1)a-cb//(2)//(a))+/a)02bc)02121)/12b*c1*-(-12/a-(/0c*/c2(b20b)1)11cb)c++1a0)100*0(/0*a*b*2c2+a(2)c)*2)((2(a,incorrect
)1120)21122)c-2c1)-b1(bcbc/**+0aab//(12/)(0b2+()bc/1-b1b1)(*b(2b*b()a*c)))c(bc00-b)+++-c0c0)-a111(2/a2)--10b-b0(2+-+1bb((b(/(b+baa-1a(a0c((-b)22b-*a)0)2(*c1100))(+2+cb*b/0b)(b/))c)/0)0c10b))221c20bb)/a*(/c((1/)bc(+b))b*)2)(2-0/a((+1*(-(*1-c/1(c)00ab01-2a*a0c-1)-a*(2(-a1ba1c2bbbc*0ac2)202(2(0b)/+10b2(-(/2+)*a()2-)-(2)0()c221(ba+-)b20c*c(1/--a2a)-(1c0c0))cb+a)12(/(c2c(a)a)c2)-(a0(b/1-b1/(+(-01(//0a-bc+02b+c(1-0c/c/(-ab))c2)c1)2-)++(2)1)/a0cc/c02*2(+0+(c+0(0*/1a*2)+1*-*a((-0a-2)2*))1a-c*c(a12-*-cc*)a2(()+(0+b-2,incorrect
c0bbab)-*/1c/)cbb/+)(bb)a2(ba(00)+bb*/)1ac)02b(0/)1)()(acca+*)/+(a(2-)(0a)+)*-00c/c(1-((12221c(1-(-ca0a)b21a1acc1-(02b(c(0)(+12a*+(c*210ca0a)**b2b1*))a1c+a212a/*+02*)/(+/b//cb0+22))b0ca))0c()*1**()2a(*a)b20c0)))b1-0*+)*+c1*(0//c0(*0(2-/2)1(/1(a/*(1//*(+a2cb-)+1)*22*01*+0(++)2+2))-200(2)+*((0)++++)))()01-c)2//))-(a-))(2bb*(a(*0(b)b-*1*1)/cc-2)20c-**-)/(*0+1c-(0-*)2(/1ca(0baa00*c+-0(+c0)+(+/0)0*))(+*a0c21-2b-c/0acb0--b/-(0b0ab)-b/*b2(/-aa((b0aa)0(c0/(*/*c121ac)a0(b((c/)*)0b/-c*b(c*)(*(02)1/(b+cb*a+-ca(-0))c2a*()2/)1)10)a((/*1-*/1)0a(-a(a)((aa1c0c2(c(c/bb*)2-)a*()+2)a()b0(+-*2-(0/0()20)1baba)a2()0-))(0+a(+11b)+2cb-100-*+*-)/c2(b-0)2)-**b**-102+1))1-/a1(c-2*((c)/)2/(1cbcc21(*b)-(1)1bc+0/b20202a))/a)0((b*a/((0ba+a2b(/1(1-(2/)1cbaa2)1)22bbb-ca0*1-bba**20ba1a*a0(0b(*aa(-/c--1(a)2+((*)0/*2c0ca)21b0)2++)-(21*12+*1()11-(/a1-bcbb/c,incorrect
/+c)*c2a2a0/22(a)/)0(/(+2a+c0)2*a10(b-/)00((c(caa)22))++1*(-2+()+2aca)ba0+)a*)220)))((0b*c)c2*b/))*)2c+-1/+))(2/)(2**/2a)2c)))b-b(*b-)/(())c/ac--)a(0(2c/1-aa(acca2)*1)(c*c0(((+-b+a+/c1(*c())ba20a(/0/(b*/bba1-)b0a(*))1((00b+))b(b+-1/cb2c)((b1bb-)1(+()2(/02cb+/b)ac/b1-)-//b*1)-)2(--0)b*0--b))b/1)ca1020cc)a2-1(-*c)/0c((2a(0*1)*)*10c())*))2(12101a0*b*)()0+)ca/*)a1))0)2(b2()00)b22c*0b)acc0a*ca2)b+-)2b)b+c+))*)*)*a(*(c+21b(1**0b0caa-b-10(c(0(11/a)*c))((2)0b2()-c**2()1(cc2b0)2)0aaba01/22a+b+-0*a1cc/+b+1-2/21*1)ab)b0(/1a-21)00/)2(1)-12b2-0())(2*1b+0-(2((bb0-+(+((a00+02a2(c01-+))2*++)b(*()c/1abc(1/+0*1)2+2/+)*ba0/a*0/2)1)aba-(0)b(aab2+212c(2--10))00-)(bb+/)+(2102bc(b*(/(/))2ac101((aa*c0b0b(c()0-(a((2b*2001(b+(--bca(c-0(02c2c101,incorrect
2cc-bb(a++1/*)1010b*21+-2)*b/c+0a+*0/-+-1c2)2b(b(-caa(c*0aa/a+1++-a))b0-(*b+c()b2(+2)2b0)+1c/b(+()1)+(c/cc20(12-)a+,incorrect
()(/011b*1(++(((a2)b2b1*/*0(c)*/0-)-*))((2c+(((1((b/(1)cabc2(a22a/0))*/(02(c)/)1()((/a(/c*01)0/(0/0a/b-21-cc)10a*0-*1()1--2(2)0*(000)(-*2-c-2b++*0*c)a1))ab)c+)121**120b/-a2cab))2c12*-1*ba-c---a221+/cba+a++(*b*01a01c1/)0bab2)(c/22)**)-c-b10b((21-b()--1+(((a*1b2cc+((++1(c*/(a2c10bbb*-cbabab(-/0(21/*-10)0a(2c0(1//)b)bb((a1**b+0-a2a0(*cb/00a1c2c+)22c+2)/)-+((+/1*c001+ca0/-(2/+0-**()(b+-0/c2+/0+*c+abc/1)2c//+-+2+c*+(-b((-cc-()/)2a-ab1)(*b+0()(ac(b/bca-cac)a+c)b1*(01a2c+c+a01-c)1-11)a)1c(b*c0200ba*0)11-cc)21)b21+b1b-(2-c)0)(-a++(bb*(c+)+-02/20(b)b(-2c10c2***a(((bca2)b0(bb2010a0)2)1a)ac-0(2(*1+()(*a))*()()c10*a121+0)c0(()c/*/0b(1*-bac+ab((b(-))+ac0*02(a()/)-(*+11c,incorrect
)-b0+-0-()(aa)c/**bb*22a0+-a*2c)c*1c(/)c-c/)1+*(0+0(/b)2/+(b1)0b2(ac/c*c/21cb0*(*c-a*)1()10+)*c+b(-aa(cc*ac1+c+c/+(/b(a)))a122c*1+)2bc+(0)(/*c(0-(0(c/)(c)c2-c/(2b)2/+)+0*1c10c-//0b2+0-)))2))ba*)c2*cc()++)a*aa)2c1c()(+)b)()((/(++cb*(a((a*/a11a1)*aa))-)*)-a)a2-0)cb1a**)2b*/c/c*2b0)()(b/(/*c((-2*(ab1*2a2+bc(c(+)b*0*(1*+c)-)*a((2***1)-(()abcca()cc1)2(,incorrect
(0c2a1c/+*b*c1)+c)1c22*)*-c)+a21*1(c(10)*())))1*1ac*1c0)+a2(a1(ca--(c/2-(c/1/a-)-0-a2)b()20cac/)-)**c20/+0(-bac*(bb-(2+c)a+//)+-(-)c01a)2(2)2b(0b20c0+/b1/0cba1c1*b)2)c1aac2(0/bcb/c-**0/c2+0*2a+bb)a0+1*c)a)0c2*1b/(*-)/2-*b)(c/b)a)1c((0c1-2-a)2+11)11)*(1c)/1ba1/()0(-+//12(02)c1((/*0*2*2)())/1b-2)c(2-a))0b)1(a(b+((2c21--c0c-(+)/b22-2*0b-c/c-(+b),incorrect
c0*0c()2c2/2c((1+1c+(a0+*((/c)(*(c1/bc*1a1/22+2*)2a)**/-*)+))0*)*/210*1-0--+)222((0*(())))0(a)b(+)1)(-2c100b()020(1bbb/*cca/cb0bb2())b+)c(+c(12b2c)(c*//b)c*b*-*(0)1c/1)-*2(/ba(1a/c/-1(2a*))/c*0*cb)-/ca()1*)2121**2ca+)baa1ab-++)-(-/b0-/ba/2))c(/*(-/2(+2+2)+1010acb*+2(()c)a2/(((1b*2+0+ac+)*a-cb0/ab()c2b210+)-b122c++/)bb1b1*a0c0+((-11+)/b)0a*a2)()*)((aa0b(b)cc*0b/(+)21c12)--b10/bbc(0212++c(+b(-c*a20b00(2a+))/))10*c2(*(0bb1+a/)c+12b+**101(b10(b(-)cb212b01+21cb1c/a10)b0+(+/(c)(c()0+)bb0)0a2c12-(0+c1a1b))2ab(/-1121a2())+)2aa0(/(a2-baa*2-0-a-(-0(1c/-((/-2/(/)/+c*c-c--b/0c((0c*(1(/)(b()(a+)0bb(c(c(b0(bc2c122c222((a+0c0a)0b-(*-11/))1(a+)b/***01+()0-b/21)c(002b2c0)a+0cb1))2)0b2(1201(b-c-(1-a0b1c/2cc(2)1+)a(2b-)b()/2-+0((/)+1b)(12+0(2bcc(b1+0/21*11cb1ac()-c1cb(/bb))a2(a2a12000*)a)(1b//-+b)01*-(01c/+/)22(1)aa*20cc0bc)1)+-/2))0b*-2/1/))/,incorrect
)1b-a01c)+b*10(cc00c22-21b-(1ba/c(b(/)a(*/0/a*1ba00c/)-c/cb1*)+(/**cc*a11*+11(((1c((a+/)(0a(*--(00a(012+2+cb*()c)(()c)*-b12cb1aa/b)0cc+a)11b(bacbaa))0/021(***/201c,incorrect
(abc12/2+((a/0-b)(c10(*)0b+-(2cb21//b2c0-b/1b0(*20(a+()ca(1a-1b1+(a0)(*(*1/)baa)(((2(--/a(c1(b1a0)1)/2*-c(1)2/bbca1)02cb/*0(-+(-0)+*((ca+0bc12(c+1))2(1(b/b/+)2)*()c+c20b/(*(aa2-)/0+c(b(*2+2ca*+b*b221a+)-a-acab()1a))b/01)*b)(2c()*-c0))02-+2)1))/1b/-0a-)1)-(2/a(/20ac/2)(+1)0*(10+-0100(1*)aa(bb)0*01*1*22b+ba+(c001()2*+--10/cba21+)*0*c(a+))b11)22)+-(*c(110*)a*011+a+a/*)-*))+-1+1ba*202()/(b1(***()(b(b2ab/+(*1b)a),incorrect
cb*20(0*)1aa)0*c/001+22)b2/a2+c//(0+*b)(a()/(2*2b+*1cb022b1)b(02-b/c(+/0b)/)1+1--)+,incorrect
